iteration,npc_id,event_type,intent,score,winning_margin,stress,integrity,will_state,mask_active,scores_trace
143,npc_143,weather_changed,talk,0.2682,0.38180000000000003,7.707003128638535,0.49961000576138326,broken,True,"{'talk': 0.2682, 'flee': 0.1217, 'observe': 0.128, 'idle': 0.0156, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
144,npc_144,light_changed,observe,0.4661,0.03310000000000002,17.89609337684517,0.8031154864575539,deceptive,True,"{'talk': 0.1115, 'warn': 0.1721, 'intimidate': -1.0, 'flee': 0.1992, 'attack': -1.0, 'help': 0.0599, 'report': 0.1644, 'trade': 0.2382, 'observe': 0.4661, 'idle': 0.433}"
145,npc_145,player_helpers,idle,0.2846,0.3654,95.40794074604277,0.28230687062090243,broken,False,"{'talk': 0.0159, 'flee': 0.262, 'observe': 0.1415, 'idle': 0.2846, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
146,npc_146,intimidation,flee,0.2054,0.4446,76.04822203216966,0.4100361095660199,broken,False,"{'talk': 0.0559, 'flee': 0.2054, 'observe': 0.1896, 'idle': 0.1954, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
147,npc_147,betrayal,idle,0.5461,0.10389999999999999,71.16524747001027,0.8972874719314592,broken,True,"{'talk': 0.0741, 'flee': 0.0929, 'observe': 0.0511, 'idle': 0.5461, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
148,npc_148,PLAYER_ATTACKED,report,0.3871,0.06559999999999999,92.60419517816366,0.32625156877977934,coerced,False,"{'talk': 0.0859, 'warn': 0.3215, 'intimidate': -0.2824, 'flee': 0.0814, 'attack': -0.3516, 'help': 0.2078, 'report': 0.3871, 'trade': 0.0377, 'observe': 0.0012, 'idle': 0.0976}"
149,npc_149,faction_event,idle,0.4633,0.022499999999999964,46.3346595056414,0.8075969046805415,loyal,False,"{'talk': 0.2784, 'warn': 0.0898, 'intimidate': -1.0, 'flee': 0.4408, 'help': 0.3913, 'report': 0.1011, 'trade': 0.2315, 'observe': 0.3933, 'idle': 0.4633}"
150,npc_150,player_helpers,talk,0.267,0.06880000000000003,55.595376154838824,0.10190734866184548,free,False,"{'talk': 0.267, 'warn': -0.0593, 'intimidate': -0.5405, 'flee': 0.0539, 'attack': -0.5734, 'help': 0.1982, 'report': 0.0048, 'trade': 0.0906, 'observe': 0.1611, 'idle': 0.0468}"
151,npc_151,betrayal,talk,0.4381,0.21190000000000003,19.77503366954332,0.09197863865701827,broken,False,"{'talk': 0.4381, 'flee': 0.2573, 'observe': 0.2167, 'idle': 0.2833, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
152,npc_152,unknown,idle,0.1789,0.4711,27.98545542807238,0.6191765488458958,broken,True,"{'talk': 0.0837, 'flee': 0.0124, 'observe': 0.1703, 'idle': 0.1789, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
153,npc_153,player_helpers,observe,0.4648,0.18520000000000003,47.96844388881162,0.5656511150478813,broken,True,"{'talk': 0.3552, 'flee': 0.3886, 'observe': 0.4648, 'idle': 0.4075, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
154,npc_154,combat,idle,0.5697,0.28709999999999997,24.115279515480246,0.7370601375096191,coerced,True,"{'talk': 0.1781, 'warn': 0.1099, 'intimidate': -1.0, 'flee': 0.2059, 'attack': -1.0, 'help': 0.0865, 'report': -0.0278, 'trade': 0.1574, 'observe': 0.2826, 'idle': 0.5697}"
155,npc_155,player_used_item,trade,0.3851,0.04720000000000002,54.212460152099325,0.05616797680127139,free,True,"{'talk': 0.1185, 'warn': 0.1967, 'intimidate': -1.0, 'flee': 0.2043, 'attack': -1.0, 'help': 0.121, 'report': 0.0614, 'trade': 0.3851, 'observe': 0.2914, 'idle': 0.3379}"
156,npc_156,player_talks,observe,0.1663,0.4837,96.0558750275758,0.3955955623538543,broken,True,"{'talk': 0.0544, 'flee': 0.103, 'observe': 0.1663, 'idle': 0.1333, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
